Customer Name,Product Name,Product ID,Category,Sub-Category,Quantity,Price
Thomas Boland,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,2,2.97
Thomas Boland,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",OFF-PA-10001583,Office Supplies,Paper,1,7.35
Thomas Boland,12 Colored Short Pencils,OFF-AR-10002221,Office Supplies,Art,1,2.6
Anthony Jacobs,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",OFF-PA-10001583,Office Supplies,Paper,1,7.35
Katherine Murray,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",OFF-BI-10001628,Office Supplies,Binders,1,8.34
Katherine Murray,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,Office Supplies,Envelopes,2,15.74
Katherine Murray,"Advantus Photo Frame, Duo Pack",FUR-FU-10001366,Furniture,Furnishings,1,0.0
Katherine Murray,12 Colored Short Pencils,OFF-AR-10002221,Office Supplies,Art,2,0.0
Katherine Murray,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,2,2.97
Katherine Murray,Acco 3-Hole Punch,OFF-BI-10003460,Office Supplies,Binders,1,4.38
Katherine Murray,"24 Capacity Maxi Data Binder Racks, Pearl",OFF-ST-10003805,Office Supplies,Storage,1,210.55
Phillip Breyer,Acme Galleria Hot Forged Steel Scissors with Colored Handles,OFF-SU-10004884,Office Supplies,Supplies,2,15.73
Phillip Breyer,12 Colored Short Pencils,OFF-AR-10002221,Office Supplies,Art,1,0.0
Phillip Breyer,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,1,2.97
Phillip Breyer,AT&T TR1909W,TEC-PH-10003273,Technology,Phones,1,100.79
Aaron Hawkins,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,1,2.97
Aaron Hawkins,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",FUR-BO-10001811,Furniture,Bookcases,1,204.67
Sue Ann Reed,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,OFF-AP-10004980,Office Supplies,Appliances,1,37.92
Sue Ann Reed,"Brother Copy Machine, Color",TEC-CO-10004398,Technology,Copiers,1,173.31
Paul MacIntyre,"Binney & Smith Sketch Pad, Water Color",OFF-AR-10001777,Office Supplies,Art,1,49.5
Paul Van Hugh,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,1,2.97
Paul Van Hugh,24-Hour Round Wall Clock,FUR-FU-10000076,Furniture,Furnishings,1,15.98
Katharine Harms,Avery 510,OFF-LA-10003714,Office Supplies,Labels,1,3.0
Katharine Harms,#10 Self-Seal White Envelopes,OFF-EN-10002312,Office Supplies,Envelopes,1,11.09
Alejandro Ballentine,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,Office Supplies,Paper,1,2.97
Alejandro Ballentine,3M Organizer Strips,OFF-BI-10003669,Office Supplies,Binders,1,1.62
Alejandro Ballentine,"Bush 3-Shelf Cabinet, Pine",FUR-BO-10001326,Furniture,Bookcases,1,144.72
hoang nam,AT&T TR1909W,TEC-PH-10003273,Technology,Phones,1,100.79
Cari Sayre,Acco D-Ring Binder w/DublLock,OFF-BI-10001098,Office Supplies,Binders,1,4.28
